name,artist,release_date,length,popularity
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga,2023-05-19,175802,79
Moment of Truth,Lil Durk,2023-05-26,179604,72
Paper Soldier,d3puu,2023-04-17,202001,76
Cowboys And Angels,Jessie Murph,2023-05-26,133973,73
Set Me Free Pt.2,Jimin,2023-03-24,200929,81
Angel (From Barbie The Album),PinkPantheress,2023-06-08,123820,77
Common Ground,Jack Harlow,2023-04-28,100424,76
NASTY - Extended Version,Russ,2023-03-31,176766,74
Uno mas Uno Igual a Zero,Abraham Vazquez,2023-03-10,159683,80
Days That End In Why,Morgan Wallen,2023-03-03,162475,72
Tormenta (feat. Bad Bunny),Gorillaz,2023-02-24,193463,83
For What It’s Worth (feat. Alana Springsteen),BRELAND,2023-02-17,176617,71
No Good,Juice WRLD,2023-05-18,252705,75
"Ring Ring (feat. Travis Scott, Don Toliver, Quavo & Ty Dolla $ign)",CHASE B,2023-05-11,186833,76
Grown Man,Marshmello,2023-03-31,106511,75
At This Point We Stuck,Lil Durk,2023-05-26,114016,72
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator",2023-03-31,204109,75
Rose Colored Lenses,Miley Cyrus,2023-03-10,223786,77
Super Bowl,Stray Kids,2023-06-02,183160,81
Dancing in the Sky,Sam Barber,2023-06-01,186635,72
Devil's Paradise,The Weeknd,2023-06-12,338187,59
turned your back,Gunna,2023-06-16,243133,71
Negro Como La Pantera,Chino Pacas,2023-02-22,129953,77
Ya Corazón,Gabito Ballesteros,2023-03-03,177666,81
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,2023-03-31,165619,80
Double Fantasy (with Future),The Weeknd,2023-06-12,268235,58
Pain Talk (feat. Lil Tjay),Sleepy Hallow,2023-05-24,156821,76
Devil's Paradise,The Weeknd,2023-06-12,338187,57
